level,item_number,Quantity,reference_designator
0,830-00013,1,
1,175-00016,1,Bare PCB
1,450-00001,1,
1,445-00005,1,
1,120-00002,7,"C1, C2, C11, C12, C13, C14, C17"
1,120-00043,8,"C3, C4, C5, C6, C7, C8, C9, C10"
1,120-00001,3,"C15, C16, C18"
1,140-00011,1,D1
1,125-00059,1,J1
1,125-00047,2,"P1, P5"
1,125-00033,1,P2
1,125-00037,1,P4
1,125-00055,1,P6
1,125-00054,1,P7
1,181-01002,6,"R1, R2, R4, R7, R10, R13"
1,181-01502,4,"R3, R6, R9, R12"
1,181-04990,4,"R5, R8, R11, R14"
1,181-049R9,1,R15
1,180-00043,7,"RN1, RN2, RN3, RN4, RN5, RN6, RN7"
1,185-00011,1,S1
1,185-00010,1,S2
1,150-00067,1,U1
1,150-00077,1,U2
1,150-00076,1,U3
